City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
92,Margate,51.3813,1.3862,62.91,88,100,1.01,overcast clouds,GB,2022-07-23 02:42:58
93,Georgetown,5.4112,100.3354,84.88,85,20,3.44,few clouds,MY,2022-07-23 02:38:28
94,San Cristobal,7.7669,-72.225,71.78,98,74,3.2,broken clouds,VE,2022-07-23 02:38:24
95,Coahuayana,18.7333,-103.6833,80.08,87,99,0.63,overcast clouds,MX,2022-07-23 02:42:59
96,Riyadh,24.6877,46.7219,86.14,18,85,4.45,overcast clouds,SA,2022-07-23 02:39:31
97,Oum Hadjer,13.2954,19.6966,78.44,67,59,5.93,broken clouds,TD,2022-07-23 02:42:59
98,Bonthe,7.5264,-12.505,76.3,84,100,8.16,light rain,SL,2022-07-23 02:43:00
99,Sawakin,19.1059,37.3321,89.22,49,8,2.24,clear sky,SD,2022-07-23 02:43:00
100,Aboisso,5.4678,-3.2071,70.77,87,87,3.33,overcast clouds,CI,2022-07-23 02:43:01
101,Tura,25.5198,90.2201,82.51,78,100,1.63,overcast clouds,IN,2022-07-23 02:43:01
102,Neuquen,-38.9516,-68.0591,48.09,57,0,3.44,clear sky,AR,2022-07-23 02:43:01
103,Saskylakh,71.9167,114.0833,58.73,52,99,6.67,overcast clouds,RU,2022-07-23 02:43:02
104,Klaksvik,62.2266,-6.589,49.12,82,100,6.46,overcast clouds,FO,2022-07-23 02:42:14
105,Pahrump,36.2083,-115.9839,104.05,13,65,4.0,broken clouds,US,2022-07-23 02:43:02
106,Gladstone,-23.85,151.25,71.53,53,0,9.22,clear sky,AU,2022-07-23 02:43:03
107,Storm Lake,42.6411,-95.2097,80.29,88,0,0.0,clear sky,US,2022-07-23 02:43:03
108,Havre-Saint-Pierre,50.2334,-63.5986,57.56,94,100,4.61,fog,CA,2022-07-23 02:43:04
109,Airai,-8.9266,125.4092,69.57,41,18,3.83,few clouds,TL,2022-07-23 02:43:04
110,Springdale,36.1867,-94.1288,87.71,55,0,5.75,clear sky,US,2022-07-23 02:43:05
111,La Ronge,55.1001,-105.2842,57.45,72,100,6.91,overcast clouds,CA,2022-07-23 02:43:05
112,Victoria,22.2855,114.1577,93.96,73,0,5.99,clear sky,HK,2022-07-23 02:43:06
113,Hasaki,35.7333,140.8333,90.0,73,0,18.05,clear sky,JP,2022-07-23 02:43:06
114,Vila Do Maio,15.1333,-23.2167,77.79,81,63,1.21,broken clouds,CV,2022-07-23 02:43:06
115,Lekoni,-1.5843,14.2591,74.68,72,98,4.7,overcast clouds,GA,2022-07-23 02:43:07
